oneway,fclass,miles,startlon,startlat,endlon,endlat,LINESTRING
B,secondary,2.68546659493,-87.602544,33.265439,-87.602677,33.265513,"LINESTRING (-87.60254399999999 33.265439, -87.602677 33.265513)"
B,residential,0.0292871327903,-87.578496,33.199457,-87.578532,33.199033,"LINESTRING (-87.578496 33.199457, -87.578532 33.199033)"
B,residential,0.0279850211349,-87.486667,33.167664,-87.486822,33.167661,"LINESTRING (-87.486667 33.167664, -87.486822 33.167661)"
B,residential,0.307525365773,-87.486643,33.166823,-87.486657,33.167453,"LINESTRING (-87.486643 33.166823, -87.48665699999999 33.167453)"
B,residential,0.0571260089227,-87.50327,33.238159,-87.503251,33.238143,"LINESTRING (-87.50327 33.238159, -87.50325100000001 33.238143)"
B,residential,0.26287909108,-87.554769,33.214294,-87.555406,33.214323,"LINESTRING (-87.55476899999999 33.214294, -87.555406 33.214323)"
B,residential,0.0462288595165,-87.51621,33.187039,-87.51615,33.187089,"LINESTRING (-87.51621 33.187039, -87.51615 33.187089)"
B,residential,0.0661110040778,-87.514949,33.187075,-87.515375,33.187078,"LINESTRING (-87.514949 33.187075, -87.51537500000001 33.187078)"
B,residential,0.0737186810267,-87.582309,33.324451,-87.582103,33.323394,"LINESTRING (-87.582309 33.324451, -87.582103 33.323394)"
B,residential,0.170526669587,-87.516259,33.283761,-87.516228,33.283521,"LINESTRING (-87.51625900000001 33.283761, -87.516228 33.283521)"
B,residential,0.0452149175522,-87.458544,33.101652,-87.458603,33.101779,"LINESTRING (-87.458544 33.101652, -87.458603 33.101779)"
B,residential,0.0643170448622,-87.552806,33.129103,-87.552904,33.129089,"LINESTRING (-87.552806 33.129103, -87.552904 33.129089)"
B,residential,0.0501672203676,-87.423508,33.2348,-87.423591,33.235021,"LINESTRING (-87.423508 33.2348, -87.423591 33.235021)"
B,residential,0.0790033042932,-87.473064,33.235354,-87.473389,33.235345,"LINESTRING (-87.47306399999999 33.235354, -87.473389 33.235345)"
B,service,0.118199268629,-87.549306,33.235061,-87.549391,33.235086,"LINESTRING (-87.549306 33.235061, -87.549391 33.235086)"
B,service,0.0264813829267,-87.444125,33.183721,-87.44405,33.183872,"LINESTRING (-87.444125 33.183721, -87.44405 33.183872)"
B,residential,0.00915004656735,-87.446001,33.184756,-87.446148,33.184818,"LINESTRING (-87.446001 33.184756, -87.44614799999999 33.184818)"
B,service,0.107967965141,-87.457526,33.179439,-87.457658,33.179403,"LINESTRING (-87.457526 33.179439, -87.457658 33.179403)"
B,service,0.0357483722649,-87.457994,33.179392,-87.457984,33.179223,"LINESTRING (-87.457994 33.179392, -87.457984 33.179223)"
B,residential,0.0693800250209,-87.504183,33.297967,-87.50427,33.298067,"LINESTRING (-87.504183 33.297967, -87.50427000000001 33.298067)"
B,residential,0.0690269864188,-87.506349,33.298029,-87.506367,33.29819,"LINESTRING (-87.506349 33.298029, -87.506367 33.29819)"
B,residential,0.0609067988783,-87.501248,33.301551,-87.501364,33.301544,"LINESTRING (-87.501248 33.301551, -87.501364 33.301544)"
B,service,0.0733633298031,-87.430683,33.122213,-87.430186,33.122002,"LINESTRING (-87.430683 33.122213, -87.43018600000001 33.122002)"
B,residential,0.0657809390137,-87.500642,33.302732,-87.500812,33.302704,"LINESTRING (-87.500642 33.302732, -87.500812 33.302704)"
B,residential,0.0662896413943,-87.504076,33.303427,-87.504139,33.303303,"LINESTRING (-87.504076 33.303427, -87.504139 33.303303)"
B,residential,0.150602114757,-87.5741995,33.2023919,-87.5740117,33.2019739,"LINESTRING (-87.57419950000001 33.2023919, -87.5740117 33.2019739)"
