oneway,fclass,miles,startlon,startlat,endlon,endlat
F,trunk,0.3885171241,-97.6759625002,30.2586004001,-97.6791595001,30.2537114004
B,residential,0.04552854635,-97.6160910001,30.0744950003,-97.6166299998,30.0740309996
B,service,0.22056602972,-97.6067100001,30.0592840004,-97.6045789998,30.0566729996
B,residential,0.13722806774,-97.5512579997,30.0563740002,-97.5530189999,30.0552490004
B,residential,0.05968425171,-97.5769006003,30.0987506,-97.5770866997,30.0989039002
B,residential,0.33686513814,-97.5543870001,30.1360720997,-97.5572839997,30.1322299999
B,residential,0.34209809246,-97.5414524,30.1300992002,-97.5394599997,30.13231
B,service,0.17621344556,-97.6210680003,30.0636949996,-97.6206740001,30.0662230002
B,residential,0.18834108664,-97.641208,30.0609620004,-97.6390670002,30.0629640001
B,residential,0.92687276355,-97.5616690004,30.0768940004,-97.553235,30.0692719996
B,residential,0.67819779901,-97.5313879998,30.0721690001,-97.5414329998,30.074721
B,residential,0.47659911929,-97.5372759997,30.0626960003,-97.5419100002,30.0652680002
B,service,0.4378276543,-97.5595180002,30.0395349997,-97.5664119997,30.0407180003
B,service,0.21030970289,-97.5856730003,30.1095869998,-97.5882470003,30.1116640003
B,service,0.11359749696,-97.5925780004,30.1038679996,-97.5940309999,30.1032049996
B,service,0.02192324531,-97.5936500003,30.1030250003,-97.5935379997,30.1027219998
B,residential,0.13846431248,-97.5734650003,30.0365230002,-97.5739809998,30.0384819997
B,residential,0.05655787123,-97.5735679997,30.0369920003,-97.5729000003,30.037572
B,residential,0.12554947593,-97.5715923996,30.0986623,-97.5730618999,30.0973625
B,residential,0.24619741849,-97.5718440002,30.0962790004,-97.5684170004,30.0951270003
B,residential,0.17546780607,-97.5539430003,30.1046600002,-97.5519969996,30.1065229997
B,residential,0.09582517023,-97.550252,30.1015380001,-97.5513349996,30.1005139996
B,service,0.46046025369,-97.5823222001,30.1062063997,-97.5884431002,30.1091764998
B,residential,0.08341591214,-97.5972609996,30.1047810003,-97.5958920003,30.1049710001
B,residential,0.29779472901,-97.5906816,30.1050511999,-97.5870874999,30.1020636997
B,service,0.50210085142,-97.5534350002,30.0445629996,-97.5477010002,30.0405269996
B,service,0.27958385944,-97.541301,30.0348240001,-97.5431200003,30.031525
B,residential,0.03267491419,-97.5991199999,30.0967879996,-97.5995022999,30.0971264001
B,service,0.08568029798,-97.5811016996,30.0950528998,-97.5821002996,30.0959308998
B,residential,0.06721512903,-97.5652593998,30.1394572999,-97.5657822998,30.1385937997
B,service,0.06059097113,-97.5412399999,30.0520779999,-97.5406499997,30.0527910004
B,service,0.06526229494,-97.5404589999,30.0514299997,-97.5398129998,30.0521870004
B,service,0.06241350864,-97.5393059998,30.0504729996,-97.5385390004,30.0510799997
B,service,0.14604223089,-97.5764394001,30.0991317003,-97.5783283001,30.1004321002
B,residential,0.08544967474,-97.5822980003,30.0940039998,-97.5828450003,30.0949349996
B,residential,0.12556504733,-97.5499339998,30.1007210002,-97.5516610003,30.0996920004
B,residential,0.12977931167,-97.5457449999,30.103136,-97.5439059997,30.1028900004
B,residential,0.12504598019,-97.5439380002,30.1040970003,-97.5425370004,30.1027510003
B,residential,0.24765899216,-97.5854284,30.1046250003,-97.5884514,30.1070781998
B,residential,0.50043631005,-97.5842291001,30.1014026,-97.5890862,30.1065353996
B,service,0.40994597666,-97.6089284,30.1023400002,-97.6041483001,30.1065462004
B,residential,0.04924830174,-97.5425890001,30.0744970004,-97.5424029996,30.073804
B,residential,0.04313524263,-97.543309,30.0745009997,-97.5425890001,30.0744970004
B,residential,0.47803820087,-97.5820326004,30.1030217996,-97.5873828004,30.1079550001
B,residential,0.14077913397,-97.6470919998,30.0663050004,-97.6452759997,30.0674170004
B,residential,0.0417211727,-97.5648050003,30.1027219998,-97.5641610002,30.1025819997
B,residential,0.13439942869,-97.5634210003,30.1041649998,-97.5648050003,30.1027219998
B,residential,0.09921220105,-97.5645409998,30.1031709998,-97.562888,30.1032649997
B,residential,0.0557751979,-97.5713570002,30.0824290002,-97.5719640003,30.0830429997
B,residential,0.14196987471,-97.5732520004,30.0821220004,-97.5715340003,30.0835250004
B,residential,0.0754203437,-97.5427368001,30.1046999004,-97.5418799998,30.1039406999
B,residential,0.10787447326,-97.542022,30.1050906001,-97.5407269997,30.1040085996
F,primary_link,0.33444831505,-97.5773839004,30.0696518004,-97.5721956,30.0714179996
B,residential,0.05895790213,-97.5687509997,30.0806770003,-97.5691249998,30.0803699997
B,residential,0.04685339889,-97.567568,30.0799730003,-97.5679539998,30.0793840001
B,residential,1.20010957833,-97.6220230003,30.0471870001,-97.6152459998,30.0391750002
B,residential,0.174890189,-97.5530109996,30.0582050001,-97.5554759999,30.0573229999
B,residential,0.03844963113,-97.6462410001,30.0670309997,-97.6463990002,30.0675680002
B,service,0.08895772677,-97.6378039996,30.0581710003,-97.6379239997,30.0594580003
B,service,0.03300851618,-97.6379239997,30.0594580003,-97.6374650001,30.0597229999
B,service,0.08805583793,-97.6368010001,30.058671,-97.6379239997,30.0594580003
B,residential,0.76152632768,-97.5405,30.1333500003,-97.5390280004,30.1442619999
B,residential,0.5580033822,-97.5358630002,30.1438620003,-97.5448360003,30.1451579998
B,residential,0.06627312455,-97.5723419998,30.0828020003,-97.5727970001,30.0836790003
B,residential,0.04591590589,-97.5663369999,30.1328729999,-97.5670250001,30.1325789998
B,service,0.16516608852,-97.6190469997,30.0839900002,-97.6169750004,30.0855720003
